Idade,Gênero,Horas de Uso de Tecnologia,Horas de Uso de Redes Sociais,Horas de Jogos,Horas de Tempo na Tela,Status de Saúde Mental,Nivel_Estresse,Horas de Sono,Horas de Atividade Física,Acesso a Sistemas de Suporte,Impacto do Ambiente de Trabalho,Uso de Suporte Online,Faixa_Etaria,Estresse_Score,Alerta_Saude
45,Masculino,2.95,3.16,1.96,6.9,Ruim,Médio,8.02,2.07,Não,Negativo,Não,41-60,2,Não
38,Feminino,3.06,0.82,2.76,1.2,Excelente,Baixo,4.41,8.6,Não,Neutro,Sim,26-40,1,Não
37,Feminino,4.53,5.02,1.97,5.84,Excelente,Alto,4.35,4.22,Sim,Neutro,Sim,26-40,3,Não
57,Outro,2.95,1.48,3.91,7.22,Regular,Alto,8.96,0.33,Não,Negativo,Sim,41-60,3,Não
23,Masculino,7.29,7.47,1.64,14.31,Excelente,Médio,5.53,9.31,Não,Neutro,Sim,18-25,2,Sim
59,Outro,11.63,4.96,2.46,6.25,Bom,Médio,7.1,0.52,Não,Positivo,Sim,41-60,2,Não
60,Outro,5.55,7.83,1.51,8.23,Regular,Médio,4.62,2.99,Não,Negativo,Não,41-60,2,Sim
40,Masculino,9.24,7.78,2.29,9.01,Ruim,Alto,7.35,4.2,Sim,Neutro,Não,26-40,3,Não
62,Feminino,6.98,3.38,1.54,8.35,Regular,Alto,6.03,1.84,Sim,Negativo,Sim,60+,3,Não
44,Masculino,5.55,5.35,2.39,5.94,Ruim,Médio,8.2,9.67,Não,Negativo,Não,41-60,2,Não
28,Outro,5.32,6.4,1.58,4.74,Regular,Alto,4.63,4.32,Sim,Neutro,Sim,26-40,3,Não
59,Masculino,11.15,7.07,2.66,8.57,Regular,Baixo,8.6,4.82,Sim,Negativo,Não,41-60,1,Não
39,Feminino,4.53,3.21,3.15,2.4,Ruim,Baixo,4.08,9.41,Não,Negativo,Não,26-40,1,Não
32,Feminino,3.22,2.13,4.15,5.66,Excelente,Médio,5.37,8.89,Sim,Positivo,Sim,26-40,2,Não
55,Masculino,3.73,1.41,4.16,12.86,Ruim,Baixo,8.64,8.36,Sim,Positivo,Sim,41-60,1,Não
49,Feminino,4.22,4.3,1.23,13.36,Regular,Médio,6.16,1.1,Não,Negativo,Sim,41-60,2,Não
34,Outro,7.93,2.95,1.43,13.46,Bom,Médio,7.59,1.73,Sim,Positivo,Não,26-40,2,Não
21,Outro,5.95,5.04,1.64,13.2,Excelente,Baixo,6.77,9.5,Sim,Neutro,Não,18-25,1,Não
25,Feminino,11.56,2.03,2.55,6.4,Regular,Alto,4.13,2.6,Sim,Neutro,Não,18-25,3,Não
40,Masculino,9.98,3.74,1.06,14.73,Regular,Baixo,8.38,6.66,Não,Positivo,Sim,26-40,1,Não
53,Masculino,1.47,4.36,2.1,1.07,Bom,Médio,5.2,1.89,Sim,Negativo,Não,41-60,2,Não
60,Masculino,5.7,5.84,3.97,1.36,Ruim,Médio,8.96,3.83,Não,Neutro,Não,41-60,2,Não
55,Feminino,3.58,6.62,1.55,8.34,Excelente,Médio,7.89,2.24,Sim,Positivo,Sim,41-60,2,Não
62,Feminino,8.3,4.01,0.43,13.61,Bom,Baixo,4.39,7.53,Não,Neutro,Sim,60+,1,Sim
40,Outro,7.22,3.36,2.86,9.66,Excelente,Alto,4.07,9.86,Não,Neutro,Não,26-40,3,Sim
33,Feminino,9.63,2.89,3.19,6.26,Bom,Baixo,5.92,3.66,Não,Positivo,Sim,26-40,1,Não
57,Masculino,5.13,0.63,4.04,2.37,Regular,Médio,5.48,9.37,Sim,Negativo,Não,41-60,2,Não
27,Feminino,1.79,2.5,0.62,8.65,Ruim,Alto,8.01,5.28,Sim,Negativo,Sim,26-40,3,Não
47,Feminino,11.46,4.81,4.68,1.2,Regular,Médio,6.43,7.89,Não,Neutro,Sim,41-60,2,Não
32,Outro,10.7,6.0,1.09,14.62,Excelente,Alto,4.31,8.62,Sim,Negativo,Não,26-40,3,Sim
59,Outro,8.72,4.89,4.94,6.37,Ruim,Médio,7.47,3.44,Não,Positivo,Não,41-60,2,Não
21,Masculino,6.24,0.37,2.25,13.77,Excelente,Baixo,7.61,5.63,Sim,Positivo,Sim,18-25,1,Não
50,Outro,8.45,1.31,4.63,4.71,Bom,Médio,6.48,4.38,Sim,Neutro,Sim,41-60,2,Não
50,Masculino,2.02,5.62,1.63,1.81,Ruim,Médio,7.54,9.1,Não,Negativo,Não,41-60,2,Não
59,Feminino,7.26,6.64,1.25,8.02,Ruim,Baixo,4.78,0.23,Não,Neutro,Não,41-60,1,Sim
48,Outro,6.51,2.21,2.3,1.13,Excelente,Baixo,7.5,1.21,Sim,Neutro,Não,41-60,1,Não
18,Feminino,4.77,6.24,3.01,4.47,Excelente,Baixo,4.52,8.2,Não,Neutro,Sim,,1,Não
36,Outro,7.66,0.11,1.22,9.26,Ruim,Alto,6.63,0.46,Não,Positivo,Não,26-40,3,Não
44,Outro,5.54,1.17,0.55,10.89,Regular,Médio,4.03,6.27,Sim,Neutro,Não,41-60,2,Sim
60,Feminino,1.69,7.5,1.44,6.69,Ruim,Alto,8.13,0.85,Não,Positivo,Não,41-60,3,Não
19,Outro,11.33,2.4,3.19,8.07,Regular,Médio,4.77,2.22,Sim,Neutro,Sim,18-25,2,Sim
64,Feminino,3.1,3.56,1.4,1.02,Regular,Alto,4.99,9.79,Sim,Negativo,Sim,60+,3,Não
22,Feminino,11.11,1.5,1.58,13.31,Bom,Médio,4.34,2.66,Não,Neutro,Sim,18-25,2,Sim
51,Feminino,9.65,5.54,3.76,7.5,Bom,Baixo,4.28,4.65,Não,Negativo,Sim,41-60,1,Não
40,Feminino,1.16,0.17,3.43,6.95,Excelente,Médio,8.23,3.5,Não,Neutro,Não,26-40,2,Não
28,Outro,5.03,2.43,3.66,3.87,Bom,Baixo,5.11,2.24,Sim,Positivo,Sim,26-40,1,Não
23,Feminino,3.4,1.01,0.03,7.96,Ruim,Médio,6.33,4.05,Sim,Positivo,Sim,18-25,2,Não
51,Outro,3.16,7.44,1.58,10.28,Ruim,Baixo,7.69,8.36,Não,Neutro,Sim,41-60,1,Não
48,Masculino,9.01,6.8,1.02,11.19,Regular,Médio,6.68,2.79,Sim,Neutro,Não,41-60,2,Não
44,Masculino,1.51,3.04,3.81,2.61,Bom,Médio,8.82,6.66,Não,Negativo,Não,41-60,2,Não
34,Feminino,4.61,6.27,0.5,8.08,Ruim,Alto,4.8,2.28,Sim,Negativo,Sim,26-40,3,Sim
51,Masculino,8.68,3.66,1.95,14.71,Excelente,Baixo,5.17,4.83,Sim,Positivo,Sim,41-60,1,Sim
35,Feminino,5.44,4.65,2.22,13.41,Ruim,Baixo,8.76,4.89,Não,Positivo,Não,26-40,1,Não
46,Feminino,6.35,4.4,3.33,12.43,Bom,Alto,5.88,1.85,Não,Negativo,Não,41-60,3,Sim
60,Outro,5.04,0.55,0.69,3.5,Ruim,Alto,4.09,3.41,Sim,Positivo,Sim,41-60,3,Não
59,Masculino,6.65,1.98,0.63,6.53,Excelente,Baixo,4.79,5.12,Não,Positivo,Não,41-60,1,Não
29,Feminino,2.04,1.5,0.11,6.69,Regular,Médio,7.66,2.96,Sim,Neutro,Sim,26-40,2,Não
45,Outro,3.62,4.73,3.31,6.73,Regular,Baixo,7.72,7.96,Sim,Positivo,Não,41-60,1,Não
35,Outro,6.8,6.16,4.6,6.88,Regular,Baixo,8.33,8.28,Não,Negativo,Sim,26-40,1,Não
63,Masculino,2.15,0.8,4.2,2.1,Excelente,Baixo,8.24,2.34,Sim,Negativo,Não,60+,1,Não
32,Outro,4.63,3.31,3.66,2.3,Regular,Baixo,6.98,5.32,Não,Neutro,Sim,26-40,1,Não
29,Masculino,5.88,6.35,0.36,10.74,Bom,Alto,6.28,9.69,Não,Positivo,Sim,26-40,3,Não
44,Masculino,3.0,2.99,3.06,9.14,Bom,Baixo,5.42,7.4,Sim,Neutro,Não,41-60,1,Sim
19,Feminino,10.11,7.19,0.17,11.45,Excelente,Baixo,8.71,9.18,Não,Positivo,Não,18-25,1,Não
20,Masculino,11.98,1.87,0.74,10.68,Regular,Médio,6.99,6.03,Sim,Positivo,Não,18-25,2,Não
50,Outro,3.69,2.21,1.96,7.94,Ruim,Alto,8.55,7.03,Não,Positivo,Sim,41-60,3,Não
53,Feminino,3.29,0.12,0.95,11.8,Bom,Alto,7.17,1.57,Sim,Positivo,Sim,41-60,3,Não
53,Outro,1.55,2.21,0.09,2.96,Excelente,Médio,8.64,2.29,Sim,Negativo,Sim,41-60,2,Não
56,Outro,4.37,2.39,1.61,1.39,Bom,Médio,5.94,8.39,Não,Positivo,Não,41-60,2,Não
19,Masculino,11.14,6.27,3.15,13.1,Bom,Baixo,5.4,5.75,Não,Neutro,Sim,18-25,1,Sim
54,Feminino,5.52,0.5,2.05,14.28,Excelente,Alto,4.56,0.05,Não,Neutro,Sim,41-60,3,Sim
45,Masculino,1.28,7.18,0.69,3.19,Ruim,Alto,8.59,7.34,Sim,Negativo,Sim,41-60,3,Não
61,Feminino,5.7,4.07,2.19,8.79,Regular,Médio,5.51,5.16,Não,Positivo,Não,60+,2,Sim
59,Outro,1.66,7.38,3.18,5.55,Excelente,Alto,4.4,6.51,Sim,Neutro,Sim,41-60,3,Não
54,Masculino,4.54,3.84,2.17,9.28,Regular,Baixo,7.25,9.93,Não,Neutro,Não,41-60,1,Não
29,Outro,4.63,4.27,0.91,3.76,Bom,Médio,6.09,3.36,Não,Neutro,Sim,26-40,2,Não
19,Outro,4.41,1.93,1.83,9.98,Bom,Baixo,5.93,7.64,Não,Negativo,Não,18-25,1,Sim
34,Feminino,4.31,0.94,2.75,5.58,Excelente,Alto,4.49,8.86,Sim,Negativo,Não,26-40,3,Não
62,Outro,8.14,2.69,3.7,14.55,Excelente,Alto,6.15,4.1,Não,Positivo,Sim,60+,3,Não
20,Outro,10.84,1.7,2.61,13.17,Regular,Médio,5.57,9.0,Sim,Positivo,Sim,18-25,2,Sim
18,Feminino,4.88,0.07,2.91,8.63,Excelente,Alto,4.26,3.6,Não,Neutro,Sim,,3,Sim
42,Masculino,6.12,6.7,4.5,4.34,Bom,Baixo,6.36,8.66,Não,Positivo,Não,41-60,1,Não
58,Feminino,3.08,0.77,2.72,5.93,Regular,Alto,8.99,4.56,Não,Neutro,Não,41-60,3,Não
47,Outro,11.0,1.64,4.33,8.62,Excelente,Médio,4.34,4.44,Não,Positivo,Sim,41-60,2,Sim
63,Masculino,5.81,1.44,1.76,1.05,Bom,Médio,5.86,8.4,Sim,Positivo,Sim,60+,2,Não
48,Feminino,8.64,1.18,4.9,8.57,Regular,Baixo,4.48,9.93,Não,Neutro,Não,41-60,1,Sim
25,Masculino,4.81,7.0,3.58,13.65,Bom,Baixo,6.31,9.26,Sim,Neutro,Não,18-25,1,Não
50,Masculino,11.63,3.33,1.87,1.78,Ruim,Médio,8.57,8.47,Não,Neutro,Sim,41-60,2,Não
46,Masculino,2.01,0.32,3.72,9.45,Bom,Médio,5.09,3.01,Não,Negativo,Não,41-60,2,Sim
45,Outro,5.79,0.3,4.41,14.73,Bom,Baixo,5.52,6.12,Não,Negativo,Não,41-60,1,Sim
64,Feminino,11.59,5.33,4.5,13.11,Regular,Alto,5.16,4.86,Não,Positivo,Sim,60+,3,Sim
26,Feminino,11.84,6.76,0.4,14.89,Ruim,Médio,5.22,2.5,Não,Neutro,Não,26-40,2,Sim
20,Outro,10.94,3.41,0.96,3.32,Excelente,Baixo,8.66,6.07,Não,Positivo,Não,18-25,1,Não
56,Outro,2.42,2.68,1.18,3.36,Excelente,Baixo,4.67,2.91,Não,Neutro,Não,41-60,1,Não
39,Outro,3.74,1.28,0.8,10.08,Regular,Alto,4.1,9.58,Não,Neutro,Sim,26-40,3,Sim
35,Feminino,4.02,5.24,3.04,9.99,Ruim,Médio,8.97,0.66,Sim,Neutro,Sim,26-40,2,Não
38,Masculino,11.49,4.36,2.09,13.41,Bom,Alto,4.7,5.6,Sim,Positivo,Sim,26-40,3,Sim
58,Outro,5.46,1.28,4.59,13.92,Regular,Alto,5.32,8.41,Não,Neutro,Não,41-60,3,Sim
63,Masculino,6.91,5.97,2.83,6.26,Ruim,Baixo,8.61,8.03,Não,Negativo,Sim,60+,1,Não
52,Outro,2.17,6.89,1.54,2.56,Excelente,Médio,7.35,0.44,Não,Neutro,Sim,41-60,2,Não
64,Feminino,9.45,2.64,4.97,11.34,Bom,Alto,6.93,9.98,Não,Positivo,Sim,60+,3,Não
55,Masculino,10.41,6.62,3.23,3.42,Excelente,Médio,5.57,5.22,Sim,Neutro,Sim,41-60,2,Não
25,Masculino,10.5,6.98,3.8,13.15,Bom,Alto,4.03,1.29,Sim,Negativo,Sim,18-25,3,Sim
39,Feminino,1.68,2.08,0.27,14.82,Ruim,Baixo,5.43,2.58,Não,Neutro,Não,26-40,1,Sim
35,Masculino,3.46,1.32,4.48,4.84,Regular,Médio,4.06,6.62,Não,Neutro,Não,26-40,2,Não
52,Masculino,2.15,6.29,2.9,8.53,Bom,Médio,8.59,2.66,Não,Negativo,Sim,41-60,2,Não
50,Outro,3.37,6.3,1.54,6.33,Excelente,Médio,8.55,9.22,Não,Neutro,Não,41-60,2,Não
63,Feminino,2.47,3.28,2.87,1.8,Bom,Alto,4.08,0.84,Sim,Neutro,Sim,60+,3,Não
63,Outro,2.63,0.03,1.57,3.0,Ruim,Baixo,8.6,1.24,Sim,Neutro,Não,60+,1,Não
35,Feminino,6.57,0.33,3.72,5.42,Ruim,Baixo,8.37,8.57,Não,Negativo,Não,26-40,1,Não
42,Outro,3.82,2.56,4.05,3.04,Bom,Médio,6.13,9.94,Sim,Positivo,Sim,41-60,2,Não
53,Masculino,1.57,0.84,2.73,8.41,Regular,Médio,6.07,9.5,Sim,Positivo,Sim,41-60,2,Não
28,Feminino,5.73,1.04,3.31,14.39,Ruim,Médio,6.77,3.74,Não,Neutro,Sim,26-40,2,Não
56,Outro,8.36,3.87,0.02,13.22,Excelente,Médio,4.86,6.52,Não,Positivo,Sim,41-60,2,Sim
35,Masculino,9.69,2.26,3.26,6.7,Bom,Baixo,6.54,3.64,Não,Negativo,Não,26-40,1,Não
39,Masculino,4.04,7.93,1.3,12.95,Regular,Baixo,8.01,0.48,Sim,Neutro,Sim,26-40,1,Não
34,Feminino,11.87,0.2,0.56,12.18,Regular,Alto,4.09,0.96,Sim,Neutro,Não,26-40,3,Sim
56,Outro,11.36,4.62,0.36,11.91,Ruim,Médio,6.13,2.26,Não,Neutro,Sim,41-60,2,Não
26,Masculino,8.57,7.76,1.28,12.54,Excelente,Alto,5.91,2.92,Sim,Neutro,Sim,26-40,3,Sim
29,Masculino,5.56,6.75,3.84,4.52,Regular,Baixo,7.2,7.87,Sim,Neutro,Sim,26-40,1,Não
29,Feminino,4.04,2.0,1.35,10.08,Excelente,Baixo,8.78,5.72,Não,Negativo,Não,26-40,1,Não
46,Masculino,5.43,0.01,1.66,7.14,Regular,Alto,6.74,2.56,Não,Neutro,Não,41-60,3,Não
51,Feminino,9.73,5.65,4.83,10.72,Bom,Alto,5.34,8.59,Não,Neutro,Sim,41-60,3,Sim
55,Feminino,7.22,5.78,3.25,7.68,Ruim,Alto,8.18,0.78,Não,Negativo,Não,41-60,3,Não
33,Masculino,8.6,1.11,4.54,5.19,Bom,Baixo,5.01,3.64,Sim,Negativo,Não,26-40,1,Não
18,Feminino,10.93,6.34,2.01,7.6,Excelente,Baixo,8.07,3.77,Não,Negativo,Não,,1,Não
29,Masculino,3.66,2.12,4.32,12.0,Regular,Alto,7.68,5.02,Sim,Neutro,Sim,26-40,3,Não
30,Masculino,2.48,2.44,2.98,2.48,Bom,Médio,5.43,5.49,Não,Neutro,Sim,26-40,2,Não
27,Masculino,6.16,4.18,1.14,7.86,Regular,Baixo,8.39,3.0,Não,Negativo,Sim,26-40,1,Não
26,Masculino,7.18,7.8,3.98,13.22,Excelente,Baixo,5.78,6.08,Não,Negativo,Não,26-40,1,Sim
21,Masculino,5.9,4.77,3.04,13.93,Bom,Médio,8.19,7.89,Sim,Positivo,Sim,18-25,2,Não
38,Feminino,8.38,1.47,3.89,5.0,Excelente,Alto,6.2,1.94,Sim,Neutro,Sim,26-40,3,Não
61,Masculino,6.75,6.17,2.24,5.52,Regular,Médio,4.43,6.23,Não,Neutro,Não,60+,2,Não
49,Masculino,4.29,0.35,0.45,11.63,Bom,Alto,7.8,1.61,Sim,Neutro,Sim,41-60,3,Não
54,Outro,9.89,6.48,1.25,1.17,Bom,Alto,4.55,2.91,Não,Neutro,Sim,41-60,3,Não
26,Masculino,1.03,4.85,1.66,4.61,Excelente,Baixo,7.97,1.06,Não,Negativo,Sim,26-40,1,Não
65,Outro,7.58,7.92,1.62,1.4,Regular,Baixo,5.2,7.24,Não,Neutro,Não,60+,1,Não
35,Masculino,9.17,5.48,2.25,11.45,Regular,Médio,5.93,3.84,Sim,Neutro,Sim,26-40,2,Sim
51,Masculino,2.21,5.12,1.19,3.88,Excelente,Médio,8.14,0.1,Não,Neutro,Não,41-60,2,Não
59,Feminino,5.77,2.18,2.46,10.91,Ruim,Médio,8.79,4.0,Não,Neutro,Não,41-60,2,Não
42,Feminino,4.63,2.22,1.0,13.11,Bom,Baixo,5.84,8.09,Sim,Positivo,Não,41-60,1,Sim
50,Masculino,11.95,1.87,0.25,2.39,Ruim,Alto,4.3,7.09,Sim,Neutro,Sim,41-60,3,Não
53,Feminino,4.62,0.96,0.17,1.84,Bom,Médio,7.71,6.41,Não,Neutro,Sim,41-60,2,Não
37,Outro,7.96,5.36,0.71,4.35,Bom,Médio,8.74,4.4,Sim,Positivo,Não,26-40,2,Não
25,Feminino,7.44,6.36,2.46,13.65,Excelente,Baixo,8.97,5.81,Sim,Negativo,Não,18-25,1,Não
49,Masculino,8.22,4.6,4.31,12.85,Excelente,Alto,7.37,2.02,Sim,Neutro,Sim,41-60,3,Não
64,Feminino,8.11,6.28,3.42,4.27,Regular,Alto,7.02,3.27,Não,Positivo,Sim,60+,3,Não
46,Masculino,10.59,7.1,1.26,6.28,Excelente,Alto,5.7,5.13,Sim,Positivo,Não,41-60,3,Não
65,Outro,11.86,4.95,2.14,1.45,Ruim,Alto,6.16,5.38,Sim,Neutro,Não,60+,3,Não
65,Feminino,11.84,0.79,2.69,11.5,Excelente,Alto,7.47,7.01,Não,Neutro,Sim,60+,3,Não
53,Feminino,3.09,0.34,1.57,14.05,Excelente,Médio,4.58,7.31,Não,Negativo,Sim,41-60,2,Sim
18,Outro,3.92,2.44,3.21,4.41,Excelente,Médio,5.4,7.98,Não,Negativo,Sim,,2,Não
31,Masculino,7.62,4.04,3.29,14.63,Regular,Médio,6.89,3.94,Não,Negativo,Não,26-40,2,Não
56,Feminino,11.24,2.4,1.45,7.72,Bom,Médio,7.66,0.45,Sim,Negativo,Não,41-60,2,Não
64,Feminino,7.69,7.3,2.66,14.9,Regular,Baixo,7.97,7.55,Não,Neutro,Não,60+,1,Não
52,Masculino,6.85,6.18,1.76,12.67,Regular,Alto,8.22,9.03,Sim,Neutro,Sim,41-60,3,Não
21,Masculino,10.83,0.73,0.66,11.48,Bom,Alto,7.33,8.69,Não,Negativo,Não,18-25,3,Não
64,Outro,8.35,2.72,3.73,14.6,Bom,Alto,8.38,5.61,Sim,Negativo,Não,60+,3,Não
29,Masculino,8.84,5.93,1.03,6.54,Excelente,Baixo,4.31,3.86,Não,Neutro,Sim,26-40,1,Não
36,Masculino,1.14,6.57,0.03,1.38,Excelente,Baixo,6.9,0.15,Sim,Neutro,Não,26-40,1,Não
62,Outro,5.84,6.76,2.79,1.74,Ruim,Baixo,6.18,9.36,Sim,Positivo,Sim,60+,1,Não
60,Masculino,8.33,1.05,2.3,14.98,Regular,Baixo,4.31,6.08,Não,Neutro,Sim,41-60,1,Sim
39,Masculino,7.67,3.24,1.66,6.33,Ruim,Médio,7.03,8.93,Não,Neutro,Não,26-40,2,Não
27,Feminino,6.45,1.11,0.49,7.6,Regular,Alto,4.93,2.36,Sim,Negativo,Sim,26-40,3,Não
47,Feminino,11.47,3.18,3.73,1.97,Bom,Médio,7.98,8.35,Sim,Neutro,Não,41-60,2,Não
40,Outro,10.71,4.11,0.26,3.24,Regular,Alto,6.18,3.19,Sim,Neutro,Não,26-40,3,Não
58,Feminino,11.61,2.12,4.44,1.97,Bom,Baixo,7.92,9.2,Sim,Negativo,Não,41-60,1,Não
30,Masculino,8.15,5.74,3.46,9.58,Excelente,Alto,6.31,6.89,Sim,Positivo,Sim,26-40,3,Não
36,Outro,5.83,1.55,2.66,4.29,Regular,Médio,4.38,9.46,Sim,Neutro,Não,26-40,2,Não
39,Feminino,4.56,1.28,4.17,2.73,Ruim,Baixo,4.83,6.54,Sim,Negativo,Não,26-40,1,Não
52,Masculino,10.61,4.53,4.48,2.04,Ruim,Alto,5.92,3.41,Sim,Neutro,Não,41-60,3,Não
42,Outro,3.86,2.75,0.45,12.93,Bom,Alto,4.63,9.29,Sim,Negativo,Sim,41-60,3,Sim
22,Masculino,10.82,1.88,3.47,7.56,Excelente,Médio,8.89,5.73,Sim,Neutro,Sim,18-25,2,Não
52,Feminino,5.16,6.61,0.43,7.97,Bom,Baixo,5.5,1.67,Sim,Negativo,Sim,41-60,1,Não
55,Outro,9.9,3.86,4.91,5.24,Regular,Médio,5.0,6.72,Sim,Neutro,Não,41-60,2,Não
38,Feminino,5.69,0.3,1.45,8.03,Regular,Baixo,7.71,1.55,Sim,Neutro,Sim,26-40,1,Não
38,Feminino,7.1,3.08,1.08,10.59,Bom,Alto,8.63,9.35,Sim,Neutro,Não,26-40,3,Não
